     customerName     | rentals |  paid  
----------------------+---------+--------
 KarlSeal             |      45 | 221.55
 EleanorHunt          |      46 | 216.54
 ClaraShaw            |      42 | 195.58
 RhondaKennedy        |      39 | 194.61
 MarionSnyder         |      39 | 194.61
 TommyCollazo         |      38 | 186.62
 WesleyBull           |      40 | 177.60
 TimCary              |      39 | 175.61
 MarciaDean           |      42 | 175.58
 AnaBradley           |      34 | 174.66
 JuneCarroll          |      37 | 173.63
 LenaJensen           |      33 | 170.67
 DianeCollins         |      35 | 169.65
 ArnoldHavens         |      33 | 167.67
 CurtisIrby           |      38 | 167.62
 MikeWay              |      35 | 166.65
 DaisyBates           |      38 | 162.62
 TonyaChapman         |      32 | 161.68
 LouisLeone           |      35 | 161.65
 GordonAllard         |      32 | 160.68
 BrittanyRiley        |      28 | 159.72
 GuyBrownlee          |      32 | 159.68
 WarrenSherrod        |      33 | 159.67
 MargieWade           |      36 | 159.64
 MaeFletcher          |      31 | 158.69
 SteveMackenzie       |      34 | 158.66
 HarryArce            |      35 | 157.65
 PriscillaLowe        |      35 | 157.65
 ArthurSimpkins       |      32 | 155.68
 MichelleClark        |      35 | 155.65
 TammySanders         |      41 | 155.59
 SuePeters            |      40 | 154.60
 SherryMarshall       |      34 | 153.66
 NeilRenner           |      32 | 152.68
 ShawnHeaton          |      33 | 152.67
 JessicaHall          |      34 | 152.66
 NaomiJennings        |      35 | 152.65
 LeslieSeward         |      35 | 152.65
 BrandonHuey          |      37 | 152.63
 AlexGresham          |      33 | 151.67
 MariaMiller          |      33 | 151.67
 StaceyMontgomery     |      34 | 151.66
 AlmaAustin           |      35 | 151.65
 AlexanderFennell     |      36 | 151.64
 MarshaDouglas        |      37 | 151.63
 RalphMadrigal        |      34 | 150.66
 BillyPoulin          |      35 | 149.65
 DuaneTubbs           |      31 | 148.69
 JacquelineLong       |      33 | 148.67
 ChristopherGreco     |      31 | 147.69
 RosemarySchmidt      |      35 | 147.65
 ZacharyHite          |      31 | 146.69
 GladysHamilton       |      31 | 146.69
 RogerQuintanilla     |      36 | 146.64
 WandaPatterson       |      30 | 145.70
 NicholasBarfield     |      32 | 145.68
 BerniceWillis        |      33 | 145.67
 TroyQuigley          |      30 | 144.70
 OlgaJimenez          |      32 | 144.68
 TanyaGilbert         |      33 | 144.67
 JaniceWard           |      34 | 144.66
 ElizabethBrown       |      38 | 144.62
 JerryJordon          |      29 | 143.71
 RoyWhiting           |      29 | 143.71
 SylviaOrtiz          |      32 | 143.68
 RyanSalisbury        |      30 | 142.70
 VioletRodriquez      |      30 | 142.70
 MinnieRomero         |      34 | 142.66
 CatherineCampbell    |      34 | 142.66
 DebraNelson          |      29 | 141.71
 GregRobins           |      30 | 141.70
 LoriWood             |      31 | 141.69
 SaraPerry            |      33 | 141.67
 JessieMilam          |      33 | 141.67
 CaseyMena            |      34 | 141.66
 ElsieKelley          |      37 | 141.63
 RamonChoate          |      31 | 140.69
 GlendaFrazier        |      32 | 140.68
 AngelaHernandez      |      36 | 140.64
 AlvinDeloach         |      29 | 139.71
 JamieRice            |      29 | 139.71
 StanleyScroggins     |      30 | 139.70
 RobertoVu            |      30 | 139.70
 GraceEllis           |      33 | 139.67
 MorrisMccarter       |      34 | 139.66
 MauriceCrawley       |      29 | 138.71
 JoeGilliland         |      29 | 138.71
 CharlesKowalski      |      32 | 138.68
 AliceStewart         |      33 | 138.67
 BrettCornwell        |      34 | 138.66
 MarilynRoss          |      30 | 137.70
 JohnFarnsworth       |      31 | 137.69
 EllaOliver           |      31 | 137.69
 CrystalFord          |      33 | 137.67
 GertrudeCastillo     |      34 | 137.66
 JeanneLawson         |      27 | 136.73
 RussellBrinson       |      36 | 136.64
 LindaWilliams        |      26 | 135.74
 MiriamMckinney       |      26 | 135.74
 JimmieEggleston      |      28 | 135.72
 MiguelBetancourt     |      29 | 135.71
 GloriaCook           |      30 | 135.70
 RaymondMcwhorter     |      30 | 135.70
 DianneShelton        |      31 | 135.69
 EthelWebb            |      32 | 135.68
 JavierElrod          |      32 | 135.68
 ReginaBerry          |      34 | 135.66
 KentArsenault        |      27 | 134.73
 JosephJoy            |      30 | 134.70
 DaveGardiner         |      32 | 134.68
 MitchellWestmoreland |      32 | 134.68
 HelenHarris          |      32 | 134.68
 JuliaFlores          |      32 | 134.68
 BarryLovelace        |      33 | 134.67
 JorgeOlivares        |      34 | 134.66
 DonBone              |      25 | 133.75
 CherylMurphy         |      27 | 133.73
 NathanielAdam        |      28 | 133.72
 TinaSimmons          |      28 | 133.72
 DanaHart             |      29 | 133.71
 JennieTerry          |      29 | 133.71
 RosaReynolds         |      30 | 133.70
 BessieMorrison       |      28 | 132.72
 StevenCurley         |      29 | 132.71
 RonaldWeiner         |      30 | 132.70
 TracyCole            |      30 | 132.70
 JordanArchuleta      |      30 | 132.70
 CourtneyDay          |      32 | 132.68
 KarenJackson         |      27 | 131.73
 JamesGannon          |      30 | 131.70
 GeorgeLinton         |      33 | 131.67
 KathrynColeman       |      26 | 130.74
 EduardoHiatt         |      27 | 130.73
 JoyceEdwards         |      28 | 130.72
 MicheleGrant         |      30 | 130.70
 HaroldMartino        |      32 | 130.68
 DebbieReyes          |      32 | 130.68
 GilbertSledge        |      28 | 129.72
 TracyHerrmann        |      28 | 129.72
 SalvadorTeel         |      30 | 129.70
 RamonaHale           |      30 | 129.70
 KathyJames           |      30 | 129.70
 CassandraWalters     |      30 | 129.70
 VirginiaGreen        |      32 | 129.68
 ViolaHanson          |      32 | 129.68
 JustinNgo            |      36 | 129.64
 EddieTomlin          |      27 | 128.73
 PatriciaJohnson      |      27 | 128.73
 JasonMorrissey       |      28 | 128.72
 TeresaRogers         |      29 | 128.71
 MonicaHicks          |      30 | 128.70
 SherriRhodes         |      33 | 128.67
 JimRea               |      33 | 128.67
 MiltonHowland        |      25 | 127.75
 JanetPhillips        |      27 | 127.73
 MichaelSilverman     |      29 | 127.71
 TerryCarlson         |      29 | 127.71
 AmyLopez             |      29 | 127.71
 WalterPerryman       |      30 | 127.70
 FrankWaggoner        |      32 | 127.68
 MarjorieTucker       |      32 | 127.68
 MarthaGonzalez       |      34 | 127.66
 JoanneRobertson      |      34 | 127.66
 BradleyMotley        |      27 | 126.73
 TerriVasquez         |      27 | 126.73
 AndreRapp            |      28 | 126.72
 SoniaGregory         |      28 | 126.72
 IsaacOglesby         |      29 | 126.71
 JaimeNettles         |      29 | 126.71
 FlorenceWoods        |      30 | 126.70
 ShirleyAllen         |      31 | 126.69
 ThelmaMurray         |      32 | 126.68
 VeronicaStone        |      32 | 126.68
 RuthMartinez         |      24 | 125.76
 AlanKahn             |      26 | 124.74
 RickMattox           |      27 | 124.73
 BryanHardison        |      28 | 124.72
 CraigMorrell         |      30 | 124.70
 JoyGeorge            |      33 | 124.67
 CarriePorter         |      34 | 124.66
 LynnPayne            |      28 | 123.72
